n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,1570,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.03,-1.3
1,0,fb0,1580,9.72,14.28,0,0,0,0,0,0,2,APPROACH,-0.91,-1.37
1,0,fb0,1590,11.18,12.82,0,0,0,0,0,0,2,APPROACH,-0.79,-1.4
1,0,fb0,1600,11.7,12.3,0,0,0,0,0,0,2,APPROACH,-0.67,-1.41
1,0,fb0,1610,11.88,12.12,0,0,0,0,0,0,2,APPROACH,-0.55,-1.42
1,0,fb0,1620,11.94,12.06,0,0,0,0,0,0,2,APPROACH,-0.43,-1.43
1,0,fb0,1630,-3.18,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.31,-1.43
1,0,fb0,1640,1.77,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.26,-1.39
1,0,fb0,1650,10.2,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.26,-1.29
1,0,fb0,1660,15.0,-6.76,0,0,0,0,0,0,2,APPROACH,-0.3,-1.19
1,0,fb0,1670,15.0,1.72,0,0,0,0,0,0,2,APPROACH,-0.26,-1.15
1,0,fb0,1680,15.0,5.93,0,0,0,0,0,0,2,APPROACH,-0.17,-1.16
1,0,fb0,1690,-4.65,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.08,-1.23
1,0,fb0,1700,1.62,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.01,-1.23
1,0,fb0,1710,6.74,15.0,0,0,0,1,0,0,2,TRANSPORT,0.04,-1.15
1,0,fb0,1720,15.0,-6.39,0,0,0,0,0,0,2,APPROACH,0.05,-1.08
1,0,fb0,1730,15.0,5.83,0,0,0,0,0,0,2,APPROACH,0.11,-1.06
1,0,fb0,1740,15.0,8.14,0,0,0,0,0,0,2,APPROACH,0.21,-1.12
1,0,fb0,1750,1.09,15.0,0,0,0,1,0,0,2,TRANSPORT,0.27,-1.15
1,0,fb0,1760,3.78,15.0,0,0,0,1,0,0,2,TRANSPORT,0.35,-1.1
