tick,robot_id,neighbor_count,stopped,swarm_size
45,fb10,0,0,30
45,fb11,1,1,30
45,fb12,0,0,30
45,fb13,0,0,30
45,fb14,2,1,30
45,fb15,1,1,30
45,fb16,0,0,30
45,fb17,2,1,30
45,fb18,1,1,30
45,fb19,1,1,30
45,fb20,0,0,30
45,fb21,0,0,30
45,fb22,0,0,30
45,fb23,0,0,30
45,fb24,1,1,30
45,fb25,1,1,30
45,fb26,2,1,30
45,fb27,1,1,30
45,fb28,0,0,30
45,fb29,0,0,30
50,fb0,1,1,30
50,fb1,2,1,30
50,fb2,1,1,30
50,fb3,0,0,30
50,fb4,0,0,30
50,fb5,0,0,30
50,fb6,1,1,30
50,fb7,1,1,30
50,fb8,1,1,30
50,fb9,2,1,30
50,fb10,0,0,30
50,fb11,1,1,30
50,fb12,0,0,30
50,fb13,1,1,30
50,fb14,2,1,30
50,fb15,1,1,30
50,fb16,0,0,30
50,fb17,2,1,30
50,fb18,1,1,30
50,fb19,1,1,30
50,fb20,1,1,30
50,fb21,0,0,30
50,fb22,0,0,30
50,fb23,1,1,30
50,fb24,2,1,30
50,fb25,1,1,30
50,fb26,2,1,30
50,fb27,1,1,30
50,fb28,0,0,30
50,fb29,0,0,30
55,fb0,1,1,30
55,fb1,2,1,30
55,fb2,2,1,30
55,fb3,0,0,30
55,fb4,0,0,30
55,fb5,1,1,30
55,fb6,1,1,30
55,fb7,1,1,30
55,fb8,1,1,30
55,fb9,2,1,30
55,fb10,0,0,30
55,fb11,1,0,30
55,fb12,0,0,30
55,fb13,1,1,30
55,fb14,2,1,30
55,fb15,1,1,30
55,fb16,0,0,30
55,fb17,2,1,30
55,fb18,1,1,30
55,fb19,1,1,30
55,fb20,1,1,30
55,fb21,0,0,30
55,fb22,0,0,30
55,fb23,1,1,30
55,fb24,2,1,30
55,fb25,1,1,30
55,fb26,2,1,30
55,fb27,1,1,30
55,fb28,0,0,30
55,fb29,0,0,30
60,fb0,1,1,30
60,fb1,2,1,30
60,fb2,2,1,30
60,fb3,0,0,30
60,fb4,0,0,30
60,fb5,1,1,30
60,fb6,1,1,30
60,fb7,1,1,30
60,fb8,1,1,30
60,fb9,2,1,30
60,fb10,0,0,30
60,fb11,1,1,30
60,fb12,0,0,30
60,fb13,1,1,30
60,fb14,2,1,30
60,fb15,1,1,30
60,fb16,0,0,30
60,fb17,2,1,30
60,fb18,1,1,30
60,fb19,1,1,30
60,fb20,1,1,30
60,fb21,0,0,30
60,fb22,0,0,30
60,fb23,1,1,30
60,fb24,2,1,30
60,fb25,1,1,30
60,fb26,2,1,30
60,fb27,1,1,30
60,fb28,0,0,30
60,fb29,0,0,30
65,fb0,1,1,30
65,fb1,2,1,30
65,fb2,2,1,30
65,fb3,0,0,30
65,fb4,0,0,30
65,fb5,1,1,30
65,fb6,1,1,30
65,fb7,1,1,30
65,fb8,1,1,30
65,fb9,2,1,30
65,fb10,0,0,30
65,fb11,1,1,30
65,fb12,0,0,30
65,fb13,1,1,30
65,fb14,2,1,30
65,fb15,1,1,30
65,fb16,0,0,30
65,fb17,2,1,30
65,fb18,1,1,30
65,fb19,1,1,30
65,fb20,1,1,30
65,fb21,0,0,30
65,fb22,0,0,30
65,fb23,1,1,30
65,fb24,2,1,30
65,fb25,1,1,30
65,fb26,2,1,30
65,fb27,1,1,30
65,fb28,0,0,30
65,fb29,0,0,30
70,fb0,1,1,30
70,fb1,2,1,30
70,fb2,2,1,30
70,fb3,1,1,30
70,fb4,0,0,30
70,fb5,1,1,30
70,fb6,1,1,30
70,fb7,1,1,30
70,fb8,1,1,30
70,fb9,2,1,30
70,fb10,0,0,30
70,fb11,1,1,30
70,fb12,0,0,30
70,fb13,1,1,30
70,fb14,2,1,30
70,fb15,1,1,30
70,fb16,1,1,30
70,fb17,2,1,30
70,fb18,1,1,30
70,fb19,1,1,30
70,fb20,1,1,30
70,fb21,0,0,30
70,fb22,0,0,30
70,fb23,1,1,30
70,fb24,2,1,30
70,fb25,1,1,30
70,fb26,2,1,30
70,fb27,1,1,30
70,fb28,0,0,30
70,fb29,0,0,30
75,fb0,1,1,30
75,fb1,2,1,30
75,fb2,2,1,30
75,fb3,1,1,30
75,fb4,0,0,30
75,fb5,1,1,30
75,fb6,1,1,30
75,fb7,1,1,30
75,fb8,1,1,30
75,fb9,2,0,30
75,fb10,0,0,30
75,fb11,1,1,30
75,fb12,0,0,30
75,fb13,1,1,30
75,fb14,2,1,30
75,fb15,1,1,30
75,fb16,1,1,30
75,fb17,2,1,30
75,fb18,1,1,30
75,fb19,1,1,30
75,fb20,1,1,30
75,fb21,0,0,30
75,fb22,0,0,30
75,fb23,1,1,30
75,fb24,2,1,30
75,fb25,1,1,30
75,fb26,2,0,30
75,fb27,1,1,30
75,fb28,0,0,30
75,fb29,0,0,30
80,fb0,1,1,30
80,fb1,2,1,30
80,fb2,2,1,30
80,fb3,1,1,30
80,fb4,0,0,30
80,fb5,1,1,30
80,fb6,1,1,30
80,fb7,1,1,30
80,fb8,1,1,30
80,fb9,2,1,30
80,fb10,0,0,30
80,fb11,1,1,30
80,fb12,0,0,30
80,fb13,1,0,30
80,fb14,2,1,30
80,fb15,1,1,30
80,fb16,1,1,30
80,fb17,2,1,30
80,fb18,1,1,30
80,fb19,1,1,30
80,fb20,1,0,30
80,fb21,0,0,30
80,fb22,0,0,30
80,fb23,1,1,30
80,fb24,2,1,30
80,fb25,1,1,30
80,fb26,2,1,30
80,fb27,1,1,30
80,fb28,0,0,30
80,fb29,0,0,30
85,fb0,1,1,30
85,fb1,2,1,30
85,fb2,2,1,30
85,fb3,1,1,30
85,fb4,0,0,30
85,fb5,1,0,30
85,fb6,1,1,30
85,fb7,1,1,30
85,fb8,1,1,30
85,fb9,2,1,30
85,fb10,0,0,30
85,fb11,1,1,30
85,fb12,0,0,30
85,fb13,1,1,30
85,fb14,2,1,30
85,fb15,1,1,30
85,fb16,1,1,30
85,fb17,2,1,30
85,fb18,1,1,30
85,fb19,1,1,30
85,fb20,1,1,30
85,fb21,0,0,30
85,fb22,0,0,30
85,fb23,1,1,30
85,fb24,2,1,30
85,fb25,1,1,30
85,fb26,2,1,30
85,fb27,1,1,30
85,fb28,0,0,30
85,fb29,0,0,30
90,fb0,1,1,30
90,fb1,2,1,30
90,fb2,2,1,30
90,fb3,1,1,30
90,fb4,0,0,30
90,fb5,1,1,30
90,fb6,1,1,30
90,fb7,1,1,30
90,fb8,1,1,30
90,fb9,2,1,30
90,fb10,0,0,30
90,fb11,1,1,30
